Rank,Title,Budget,Genre
13,Furious 7,"$190,000,000",Action Thriller
14,Top Gun: Maverick,N/A,Action Drama
15,Frozen II,"$150,000,000",Adventure Animation Comedy Drama Family Fantasy Musical
16,Barbie,N/A,Adventure Comedy Fantasy
17,Avengers: Age of Ultron,"$250,000,000",Action Adventure Sci-Fi
390,Once Upon a Time... in Hollywood,"$90,000,000",Comedy Drama
391,Superman Returns,"$270,000,000",Action Adventure Sci-Fi
392,Robin Hood: Prince of Thieves,"$48,000,000",Action Adventure Drama Romance
393,Raiders of the Lost Ark,"$18,000,000",Action Adventure
394,Independence Day: Resurgence,"$165,000,000",Action Adventure Sci-Fi
395,Live Free or Die Hard,"$110,000,000",Action Thriller
396,Godzilla: King of the Monsters,"$170,000,000",Action Adventure Fantasy Sci-Fi
397,Monster Hunt,N/A,Action Adventure Comedy Fantasy
398,Home,"$135,000,000",Adventure Animation Comedy Family Fantasy Musical Sci-Fi
399,Star Trek,"$150,000,000",Action Adventure Sci-Fi
400,Back to the Future,"$19,000,000",Adventure Comedy Sci-Fi
18,The Super Mario Bros. Movie,N/A,Adventure Animation Comedy Family Fantasy
19,Black Panther,N/A,Action Adventure Sci-Fi
20,Harry Potter and the Deathly Hallows: Part 2,N/A,Adventure Family Fantasy Mystery
21,Deadpool & Wolverine,N/A,Action Adventure Comedy Sci-Fi
22,Star Wars: Episode VIII - The Last Jedi,"$317,000,000",Action Adventure Fantasy Sci-Fi
23,Jurassic World: Fallen Kingdom,"$170,000,000",Action Adventure Sci-Fi
24,Frozen,"$150,000,000",Adventure Animation Comedy Family Fantasy Musical
25,Beauty and the Beast,"$160,000,000",Adventure Family Fantasy Musical Romance
26,Incredibles 2,N/A,Action Adventure Animation Comedy Family Sci-Fi Thriller
27,The Fate of the Furious,"$250,000,000",Action Crime Thriller
28,Iron Man 3,"$200,000,000",Action Adventure Sci-Fi
29,Minions,"$74,000,000",Adventure Animation Comedy Crime Family Sci-Fi
30,Captain America: Civil War,"$250,000,000",Action Sci-Fi
31,Aquaman,N/A,Action Adventure Fantasy Sci-Fi
32,The Lord of the Rings: The Return of the King,"$94,000,000",Adventure Drama Fantasy
33,Spider-Man: Far from Home,"$160,000,000",Action Adventure Comedy Fantasy Sci-Fi
34,Captain Marvel,"$160,000,000",Action Adventure Sci-Fi
35,Transformers: Dark of the Moon,"$195,000,000",Action Adventure Comedy Sci-Fi Thriller
36,The Dark Knight Rises,"$250,000,000",Action Crime Drama Thriller
37,Skyfall,"$200,000,000",Action Adventure Thriller
38,Transformers: Age of Extinction,"$210,000,000",Action Adventure Comedy Sci-Fi Thriller
39,Jurassic Park,"$63,000,000",Action Adventure Sci-Fi Thriller
40,Joker,"$55,000,000",Crime Drama Thriller
41,Star Wars: Episode IX - The Rise of Skywalker,"$275,000,000",Action Adventure Fantasy Sci-Fi
42,Toy Story 4,"$200,000,000",Adventure Animation Comedy Family Fantasy
43,Toy Story 3,"$200,000,000",Adventure Animation Comedy Family Fantasy
44,Pirates of the Caribbean: Dead Man's Chest,"$225,000,000",Action Adventure Fantasy
45,Moana 2,N/A,Adventure Animation Comedy Family Fantasy Musical
46,Rogue One: A Star Wars Story,"$200,000,000",Action Adventure Sci-Fi
47,Aladdin,"$183,000,000",Adventure Comedy Family Fantasy Musical Romance
48,Pirates of the Caribbean: On Stranger Tides,"$250,000,000",Action Adventure Fantasy
49,Star Wars: Episode I - The Phantom Menace,"$115,000,000",Action Adventure Fantasy Sci-Fi
50,Despicable Me 3,"$80,000,000",Adventure Animation Comedy Crime Family Sci-Fi
51,Finding Dory,N/A,Adventure Animation Comedy Family Fantasy Mystery
52,Harry Potter and the Sorcerer's Stone,"$125,000,000",Adventure Family Fantasy
53,Zootopia,N/A,Action Adventure Animation Comedy Crime Family Mystery
54,Alice in Wonderland,"$200,000,000",Adventure Family Fantasy Mystery
55,The Hobbit: An Unexpected Journey,N/A,Adventure Fantasy
56,The Dark Knight,"$185,000,000",Action Crime Drama Thriller
57,Jurassic World: Dominion,N/A,Action Adventure Sci-Fi Thriller
58,The Lion King,"$45,000,000",Adventure Animation Drama Family Musical
59,Oppenheimer,N/A,Biography Drama History
60,Lilo & Stitch,N/A,Action Adventure Comedy Drama Family Fantasy Sci-Fi
61,Despicable Me 2,"$76,000,000",Adventure Animation Comedy Crime Family Sci-Fi
62,Despicable Me 4,N/A,Adventure Animation Comedy Crime Family Sci-Fi
63,The Jungle Book,"$175,000,000",Action Adventure Animation Drama Family Fantasy Musical
401,Happy Feet,"$100,000,000",Adventure Animation Comedy Family Music Musical Romance
402,Indiana Jones and the Dial of Destiny,N/A,Action Adventure Sci-Fi
403,Cars 3,N/A,Adventure Animation Comedy Family Sport
404,Ice Age,"$59,000,000",Adventure Animation Comedy Family
405,Thunderbolts*,N/A,Action Adventure Crime Drama Fantasy Sci-Fi
406,Fifty Shades Darker,"$55,000,000",Drama Mystery Romance Thriller
407,Monsters vs. Aliens,"$175,000,000",Action Adventure Animation Comedy Family Fantasy Sci-Fi
408,Edge of Tomorrow,"$178,000,000",Action Adventure Sci-Fi
409,Mad Max: Fury Road,"$150,000,000",Action Adventure Sci-Fi
410,Black Widow,N/A,Action Adventure Sci-Fi
411,Godzilla,"$130,000,000",Action Sci-Fi Thriller
64,Jumanji: Welcome to the Jungle,"$90,000,000",Action Adventure Comedy Fantasy
65,The Hobbit: The Battle of the Five Armies,N/A,Adventure Fantasy
66,Pirates of the Caribbean: At World's End,"$300,000,000",Action Adventure Fantasy
67,Harry Potter and the Deathly Hallows: Part 1,N/A,Adventure Family Fantasy Mystery
68,The Hobbit: The Desolation of Smaug,N/A,Adventure Fantasy
69,Doctor Strange in the Multiverse of Madness,N/A,Action Adventure Fantasy Sci-Fi
70,A Minecraft Movie,N/A,Action Adventure Comedy Family Fantasy
71,Harry Potter and the Order of the Phoenix,"$150,000,000",Action Adventure Family Fantasy Mystery
72,Finding Nemo,"$94,000,000",Adventure Animation Comedy Family
73,Harry Potter and the Half-Blood Prince,"$250,000,000",Action Adventure Family Fantasy Mystery
74,Minions: The Rise of Gru,N/A,Adventure Animation Comedy Crime Family Sci-Fi
75,The Lord of the Rings: The Two Towers,"$94,000,000",Adventure Drama Fantasy
76,Shrek 2,"$150,000,000",Adventure Animation Comedy Family Fantasy Romance
77,Bohemian Rhapsody,"$52,000,000",Biography Drama Music
78,Star Wars: Episode III - Revenge of the Sith,"$113,000,000",Action Adventure Fantasy Sci-Fi
79,The Battle at Lake Changjin,N/A,Action Drama History War
80,Harry Potter and the Goblet of Fire,"$150,000,000",Adventure Family Fantasy Mystery
81,Spider-Man 3,"$258,000,000",Action Adventure Sci-Fi
82,The Lord of the Rings: The Fellowship of the Ring,"$93,000,000",Adventure Drama Fantasy
83,Ice Age: Dawn of the Dinosaurs,"$90,000,000",Adventure Animation Comedy Family
84,Harry Potter and the Chamber of Secrets,"$100,000,000",Adventure Family Fantasy Mystery
85,Spider-Man: Homecoming,"$175,000,000",Action Adventure Sci-Fi
86,Spectre,"$245,000,000",Action Adventure Thriller
87,Ice Age: Continental Drift,"$95,000,000",Adventure Animation Comedy Family
88,The Secret Life of Pets,"$75,000,000",Adventure Animation Comedy Family
89,Batman v Superman: Dawn of Justice,"$250,000,000",Action Adventure Sci-Fi
90,Wolf Warrior 2,"$30,100,000",Action Adventure Drama Thriller War
91,The Hunger Games: Catching Fire,"$130,000,000",Action Adventure Sci-Fi Thriller
92,Guardians of the Galaxy Vol. 2,"$200,000,000",Action Adventure Comedy Sci-Fi
93,Black Panther: Wakanda Forever,N/A,Action Adventure Drama Sci-Fi
94,Inside Out,"$175,000,000",Adventure Animation Comedy Drama Family Fantasy
95,Venom,"$100,000,000",Action Adventure Sci-Fi
96,Thor: Ragnarok,"$180,000,000",Action Adventure Comedy Fantasy Sci-Fi
97,The Twilight Saga: Breaking Dawn - Part 2,"$120,000,000",Adventure Drama Fantasy Romance
98,Guardians of the Galaxy Vol. 3,N/A,Action Adventure Comedy Sci-Fi
99,Inception,"$160,000,000",Action Adventure Sci-Fi Thriller
100,Transformers: Revenge of the Fallen,"$200,000,000",Action Adventure Sci-Fi
412,True Lies,"$115,000,000",Action Comedy Thriller
413,Slumdog Millionaire,"$15,000,000",Crime Drama Romance
414,Taken 2,"$45,000,000",Action Crime Thriller
415,G.I. Joe: Retaliation,"$130,000,000",Action Adventure Sci-Fi Thriller
416,Batman Begins,"$150,000,000",Action Crime Drama Thriller
417,Shark Tale,"$75,000,000",Adventure Animation Comedy Family Thriller
418,What Women Want,"$70,000,000",Comedy Fantasy Romance
